CATEGORIA,SUBCATEGORIA,NOMBRE,DESCRIPCION,PRECIO/BOTELLA,PRECIO/COPA
Coctelería,,Aperol Spritz,"El Aperol Spritz es un cóctel italiano refrescante que combina Aperol,",,$150.00
Coctelería,,Bloody Mary,"Vodka, tomate mix, nuestro ingrediente secreto",,$150.00
Coctelería,,Canija,bebida de baileys con un shot de expreso,,$120.00
Coctelería,,Carajillo,La amargura del café y la dulzura especiada de Licor,,$150.00
Coctelería,,Clericot,nuestro clericot tiene un sabor muy rico y especial,,$150.00
Coctelería,,El Rey Abel,Especial de la casa ,,$170.00
Coctelería,,Hierbabuena,"hierbabuena fresca, limón",,$95.00
Coctelería,,Margarita,"sal negra, limón, tajín",,$150.00
Coctelería,,Margarita Tajal,,,$180.00
Coctelería,,Michelada Clara,,,$130.00
Coctelería,,Michelada Obscura,,,$150.00
Coctelería,,Michelada con Camarón,"camarones cocidos, limón, sal y sason Tajal",,$180.00
Coctelería,,Mimosa,,,$130.00
Coctelería,,Old Fashion,,,$210.00
Coctelería,,Cuba Libre,,,$160.00
Coctelería,,Mojito,,,$120.00
Coctelería,,Paloma,,,$130.00
Coctelería,,Perla Negra,,,$165.00
Coctelería,,Piña Colada,,,$150.00
Coctelería,,Ruso Blanco,,,$130.00
Coctelería,,Ruso Negro,,,$150.00
Coctelería,,Sangría,,,$150.00
Coctelería,,Maracay,limón jarabe maracuyá teguila higo piña,,$195.00
Coctelería,,Vampiro,,,$130.00
Coctelería,,Maracuñita ,,,$185.00
Coctelería,,Tequila Sonraise ,,,$180.00
Coctelería,,Conga,,,$170.00
Coctelería,,Bomba de Violeta ,,,$200.00
Coctelería,,Clericot Blanco ,,,$190.00
Coctelería,,Sangria,,,$185.00
Coctelería,,Bloody Mary ,,,$150.00
Coctelería,,Flor de Durazno,,,$200.00
Coctelería,,Expresso Martini,Vodka licor de Cafe Mucho hielo,,$200.00
Coctelería,,Manhattan ,Whisky Vermut Rojo,,$180.00
Cervezas,Normales,Corona,,,$55.00
Cervezas,Normales,Corona Light,,,$55.00
Cervezas,Normales,Modelo Especial,,,$75.00
Cervezas,Normales,Negra Modelo,,,$75.00
Cervezas,Normales,Pacífico,,,$55.00
Cervezas,Normales,Ultra,,,$75.00
Cervezas,Normales,Victoria,,,$55.00
Cervezas,Artesanales,Colimitas,,,$95.00
Cervezas,Artesanales,Colimita Lager,,,$95.00
Cervezas,Artesanales,Paromo,,,$95.00
